name;country_un_registery;users;purposes;orbit_class;perigee_km;apogee_km;inclination_deg;period_minutes;launch_mass_kg;launch_date;expected_lifetime_yrs;launch_site;launch_vehicle;operator;operatory_country
Starlink-1532 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1533 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1534 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1536;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1538 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1539 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1540 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1541 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1542 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1543 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1544 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1545 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1546;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1547;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1548 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1549 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1550;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1551 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1552 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1553;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1554 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1555 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1556 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1557 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1558 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1559 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1560 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1561 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1562 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1563 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1564 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1565 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1566 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1567 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1568 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1569 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1570 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1571 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1572 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1573 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1574 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1575;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1576 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1577 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1578 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1579 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1580 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1581 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1582 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1583 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1584 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1585 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1586 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1587 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1588 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1589 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1590 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1591 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;07.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1593 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1594 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1595 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1596 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1597 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1598 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1600 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1601 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1602 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1603 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1604 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1605 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1606 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1607 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1608 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1609 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;15.02.2021;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1610 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1611 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1612 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1613 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1614 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1615 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1616 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1617 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1618 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1619 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1620 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1621 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1622 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1623 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1624 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1625 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1626 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1627 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1628 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1629 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1630 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1631 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1633 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1634 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1635 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1636 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1637 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1638 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1639 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1640 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1641 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1642 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1643 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1644 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1645 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;15.02.2021;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1646;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1647 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;24.03.2021;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1648 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1649 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1650 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1651;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1653;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1654 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1655 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;15.02.2021;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1656;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1657;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1658;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1659 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1660 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1661;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1663 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1664 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1665;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1666;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1667 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;18.08.2020;;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1669 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;15.02.2021;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1670;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1671 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1672 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1673;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1675 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1676 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1677 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1678 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1679 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1680 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1681 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1682 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1683 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1686;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1687 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1688;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1689;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1690;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1692 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1693 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1694 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1695;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1696 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1697 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1698 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1699 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1700 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1701 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1704 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;15.02.2021;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1705 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1706 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1707;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1708 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1709 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1710;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1711;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1712 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1713;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1714 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1715 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;18.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1716 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;18.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1717 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;18.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1718 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;18.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1719 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1720 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;18.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1721;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1722;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1723;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1724;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1725;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1726 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1727;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1728 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1729 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1730 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1732 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1733 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1734;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1735 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1736 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1737 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1738 ;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1739;USA;Commercial;Communications;LEO;548;551;53;95.6;260;03.09.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1740 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
Starlink-1741 ;USA;Commercial;Communications;LEO;548;561;53;95.6;260;06.10.2020;4;Cape Canaveral;Falcon 9;SpaceX;USA
